"filename", "language", "JSON", "YAML", "Ignore", "JSON with Comments", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "Docker", "CSS", "Prisma", "SQL", "XML", "comment", "blank", "total"
"d:\Learn\codeEditor\apps\server\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Learn\codeEditor\apps\server\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Learn\codeEditor\apps\server\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Learn\codeEditor\apps\server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 6, 10, 28
"d:\Learn\codeEditor\apps\server\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 21, 74
"d:\Learn\codeEditor\apps\server\nest-cli.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Learn\codeEditor\apps\server\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Learn\codeEditor\apps\server\prisma\migrations\20240614085518_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 7
"d:\Learn\codeEditor\apps\server\prisma\migrations\20240617025053_add_user_model\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 3, 12
"d:\Learn\codeEditor\apps\server\prisma\migrations\20240617060214_make_username_unique\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 9
"d:\Learn\codeEditor\apps\server\prisma\migrations\20240617061902_make_username_not_unique\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"d:\Learn\codeEditor\apps\server\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 6, 27
"d:\Learn\codeEditor\apps\server\src\adapter.ts", "TypeScript", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 230
"d:\Learn\codeEditor\apps\server\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Learn\codeEditor\apps\server\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Learn\codeEditor\apps\server\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Learn\codeEditor\apps\server\src\interceptors\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Learn\codeEditor\apps\server\src\interceptors\transform.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Learn\codeEditor\apps\server\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Learn\codeEditor\apps\server\src\modules\code\code.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Learn\codeEditor\apps\server\src\modules\code\code.module.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Learn\codeEditor\apps\server\src\modules\code\code.service.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Learn\codeEditor\apps\server\src\modules\code\dto\run-code.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Learn\codeEditor\apps\server\src\modules\docker\Images\nodejs\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\Learn\codeEditor\apps\server\src\modules\docker\config.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Learn\codeEditor\apps\server\src\modules\docker\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 81
"d:\Learn\codeEditor\apps\server\src\modules\docker\docker.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Learn\codeEditor\apps\server\src\modules\docker\docker.module.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Learn\codeEditor\apps\server\src\modules\docker\docker.service.ts", "TypeScript", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 126
"d:\Learn\codeEditor\apps\server\src\modules\docker\types.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"d:\Learn\codeEditor\apps\server\src\modules\gateway\event.gateway.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 57
"d:\Learn\codeEditor\apps\server\src\modules\gateway\event.module.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Learn\codeEditor\apps\server\src\modules\gateway\y-websocket.ts", "TypeScript", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 211
"d:\Learn\codeEditor\apps\server\src\modules\leetcode\dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.module.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.service.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 50
"d:\Learn\codeEditor\apps\server\src\modules\livekit\dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.module.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.service.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Learn\codeEditor\apps\server\src\modules\prisma\prisma.module.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Learn\codeEditor\apps\server\src\modules\prisma\prisma.service.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Learn\codeEditor\apps\server\src\modules\room\dto\index.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Learn\codeEditor\apps\server\src\modules\room\entities\room.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Learn\codeEditor\apps\server\src\modules\room\room.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Learn\codeEditor\apps\server\src\modules\room\room.module.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Learn\codeEditor\apps\server\src\modules\room\room.service.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 91
"d:\Learn\codeEditor\apps\server\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Learn\codeEditor\apps\server\tsconfig.json", "JSON with Comments", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"d:\Learn\codeEditor\docker-compose.yml", "YAML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 21
"d:\Learn\codeEditor\lib\assets\svgs\logo.dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\Learn\codeEditor\lib\assets\svgs\logo.light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\Learn\codeEditor\lib\requests\code.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 37
"d:\Learn\codeEditor\lib\requests\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Learn\codeEditor\lib\requests\livekit.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Learn\codeEditor\lib\requests\question.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"d:\Learn\codeEditor\lib\requests\request.ts", "TypeScript", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 112
"d:\Learn\codeEditor\lib\requests\room.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Learn\codeEditor\lib\types\leetcode\index.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Learn\codeEditor\lib\utils\code.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 25
"d:\Learn\codeEditor\lib\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 29
"d:\Learn\codeEditor\package.json", "JSON", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 99
"d:\Learn\codeEditor\pnpm-lock.yaml", "YAML", 0, 7082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 980, 8062
"d:\Learn\codeEditor\pnpm-workspace.yaml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Learn\codeEditor\tsconfig.json", "JSON with Comments", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Learn\codeEditor\turbo.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Learn\codeEditor\types\global.d.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 157, 7094, 5, 64, 55, 1619, 70, 1479, 17, 33, 1437, 17, 13, 30, 197, 1544, 13831
